Financing of the RUA 		 financing of the RUA 		 Score: 1.0000
Family composition, income from work, rent due : The RUA would be calculated according to several criteria 		 Expenses 		 Score: 0.4254
infringement of the rights of the families of persons with disabilities 		 Rights ok, but duties too 		 Score: 0.4254
As soon as the Universal Activity Income is granted, offer immediate professional and/or social support, depending on the person's situation 		 Donate part of the aid in kind 		 Score: 0.4253
Financing the Universal Activity Income through national solidarity 		 Recognizing volunteer investment in public interest organizations 		 Score: 0.4253
Financing of the RUA 		 In the case of an unemployed person who does not look for a job, the RUA would be suspended or a compensatory work of a few hours would be required, except in exceptional cases (handicap...) 		 Score: 0.4253
In the case of an unemployed person who does not look for a job, the RUA would be suspended or a compensatory work of a few hours would be required, except in exceptional cases (handicap...) 		 financing of the RUA 		 Score: 0.4253
RUA for all without conditions 		 Do not recover the RUA from the estate, even if the ASPA is included 		 Score: 0.4253
Take into account the (often non-existent) income of young people and students 		 universal activity income except apl 		 Score: 0.4253
A Universal Income for all citizens 		 For an RMA at 1300 euros net per month for all without income conditions 		 Score: 0.4253
A compensatory Universal Activity Income 		 A minimum income from age 18 to 62 		 Score: 0.4253
Financing the universal income by stopping the waste of public money 		 Fight against tax evasion and stop tax giveaways (CICE) etc 		 Score: 0.4252
terms and conditions 		 No conditions to benefit from it 		 Score: 0.4252
Terms and conditions 		 No conditions to benefit from it 		 Score: 0.4252
No conditions to benefit from it 		 terms and conditions 		 Score: 0.4252
No conditions to benefit from it 		 terms and conditions 		 Score: 0.4252
A minimum income from age 18 to 62 		 For an RMA at 1300 euros net per month for all without income conditions 		 Score: 0.4252
Do not take the person's personal situation into account when calculating income (AAH) 		 Not just income, household expenses too... 		 Score: 0.4252
No additional taxes 		 Introduction of a social VAT combined with a reduction in payroll taxes 		 Score: 0.4252
Financing through the economy of simplification and the contribution of high incomes 		 per capita income 		 Score: 0.4251
housing allowance 		 For an RMA at 1300 euros net per month for all without income conditions 		 Score: 0.4251
moving towards a universal income 		 Financing through the economy of simplification and the contribution of high incomes 		 Score: 0.4251
For a new economic system based on the right to exist, not on the need to have a job 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.4251
A Universal Activity Income to compensate for a lack of income 		 REDISTRIBUTION SOCIAL AND FISCAL JUSTICE. 		 Score: 0.4251
OF WORK IN RETURN 		 Expenses 		 Score: 0.4251
Take into account the fact that you have dependent children 		 TAKE INTO ACCOUNT THE INCOME OF EACH PERSON, NOT THE COUPLE 		 Score: 0.4250
I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 Universality and Funding 		 Score: 0.4250
REVENUE FUND 		 Universal income 		 Score: 0.4249
By abolishing the CICE. 		 Fight against tax evasion and stop tax giveaways (CICE) etc 		 Score: 0.4249
Allocation through tax return 		 Expenses 		 Score: 0.4248
The Company pays 		 A SMIC at 2000 and a RUA at 800! System of payment of salaries by the State 		 Score: 0.4248
Expenses 		 Participation fee 		 Score: 0.4248
Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 Make it conditional on professional, social or health integration 		 Score: 0.4247
The prerequisites to facilitate the implementation of universal income 		 have a low income 		 Score: 0.4247
Financing the universal income by stopping the waste of public money 		 Making tax havens aware of National Solidarity 		 Score: 0.4247
Development income 		 Tax on the big salaries of company bosses and the rentiers of the Republic 		 Score: 0.4247
Set a decent minimum income. 		 When will we see a real project for a reasonable minimum wage? 		 Score: 0.4247
RSA funding 		 Financing from the estate 		 Score: 0.4246
FINANCING 		 Taxing financial transactions 		 Score: 0.4246
Financing 		 Taxing financial transactions 		 Score: 0.4246
Taxing financial transactions 		 Financing 		 Score: 0.4246
No, that's it. 		 No 		 Score: 0.4246
universal activity income except apl 		 One income, one job 		 Score: 0.4246
Take into account the cost of housing 		 Census and approach 		 Score: 0.4246
Households with more than 3 ineligible children 		 apply the obligation of maintenance and recovery from inheritance to all social assistance 		 Score: 0.4246
Agreed, but except for the case of disabled people (AAH, other allowances and aid for disabled people) and APL 		 Think also of the savings to be made in order to really help those who need it 		 Score: 0.4246
No conditions to benefit from it 		 to all since it will be universal without conditions .... 		 Score: 0.4246
Take into account specific problems 		 Continue to take into account actual costs 		 Score: 0.4246
RUA operation 		 In the case of an unemployed person who does not look for a job, the RUA would be suspended or a compensatory work of a few hours would be required, except in exceptional cases (handicap...) 		 Score: 0.4245
The conditions for receiving the Universal Activity Income 		 Take into account the person's income 		 Score: 0.4245
Universal Income for ALL 		 Financing through the economy of simplification and the contribution of high incomes 		 Score: 0.4245
Universal income for all 		 Financing through the economy of simplification and the contribution of high incomes 		 Score: 0.4245
duty of care 		 Aid in return for work 		 Score: 0.4245
A SMIC at 2000 and a RUA at 800! System of payment of salaries by the State 		 Simple and guaranteed e.g. 600 per adult, 300 per child, for all regardless of income. 		 Score: 0.4245
State financing and not by local authorities 		 The financing is to be imposed on companies that have installed automation in their activities. 		 Score: 0.4245
Single Minimum Income RMU 		 Universal income means for everyone. 		 Score: 0.4245
Universal 		 moving towards a universal income 		 Score: 0.4245
Subject: Universal activity income/unconditional basic income 		 decent income 		 Score: 0.4244
Avoiding poverty and inflation. 		 Why not solidarity vouchers? 		 Score: 0.4244
I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 Take into account not only income but also assets 		 Score: 0.4244
Financing the universal income by stopping the waste of public money 		 Equity of the produced wealth and redistribution, problems and mechanism of poverty 		 Score: 0.4244
Single Minimum Income RMU 		 universal activity income except apl 		 Score: 0.4244
Considering treatment failures for AHA 		 Exclude disability from the scope of the RUA 		 Score: 0.4243
Take into account the income of the entire household 		 Income tax return 		 Score: 0.4243
Take into account the income of the entire household 		 Income tax return 		 Score: 0.4243
Take into account the income of the entire household 		 Income tax return 		 Score: 0.4243
Take into account the income of the entire household 		 Income tax return 		 Score: 0.4243
creative financing 		 Financing through the economy of simplification and the contribution of high incomes 		 Score: 0.4243
creative financing 		 Financing through the economy of simplification and the contribution of high incomes 		 Score: 0.4243
UNIVERSAL INCOME (good idea or gas factory?) 		 have a low income 		 Score: 0.4242
How to redistribute in solidarity 		 Make everyone aware of their rights more effectively and respect the choices they make 		 Score: 0.4242
Taxes on robots, gaffes... 		 Tax funding as usual. 		 Score: 0.4242
Full automation and no activity 		 Automation of aids 		 Score: 0.4242
A subscription allowing to use the generated profits to co-finance the RU (or RUA, if you want...)? 		 there are no conditions to be met in order to benefit from the RUA 		 Score: 0.4242
There should be no conditions for universal income, other than age (and still...). 		 Income 		 Score: 0.4242
There should be no conditions for universal income, other than age (and still...). 		 Income 		 Score: 0.4242
A compensatory Universal Activity Income 		 save money by eliminating undue benefits 		 Score: 0.4242
RUA compatible with unemployment benefits 		 Family composition, income from work, rent due : The RUA would be calculated according to several criteria 		 Score: 0.4241
funding 		 Equity 		 Score: 0.4241
The prerequisites to facilitate the implementation of universal income 		 Think also of the savings to be made in order to really help those who need it 		 Score: 0.4241
1 EURO TAX ON TECHNOLOGY 		 Conditions - 1400 euros net Universal Minimum Income 		 Score: 0.4241
A careful study of the living conditions for the payment of this income 		 The RUA for all, regardless of income, from the age of 18 		 Score: 0.4239
